,AM1,AM2,AM3,AM4,AM5,AM6,CD1,CD2,CD3,CD4,CD5,CD6,BU1,BU2,BU3,BU4,BU5,BU6,Rur,sex,Pub,pro_an,pro_cd,pro_bu,Mat
1897,4,4,4,NA,4,4,3,1,1,NA,1,NA,4,4,1,1,4,4,0,F,1,4,1.5,3,366.9638
1898,2,NA,1,1,2,2,4,3,4,NA,NA,4,1,1,1,1,1,1,0,M,0,1.6,3.75,1,583.2623
1899,3,NA,3,3,3,3,NA,4,4,NA,4,4,1,1,1,1,1,1,1,F,1,3,4,1,359.4528
1900,1,1,1,NA,1,1,3,3,3,3,NA,NA,1,3,1,1,1,1,1,M,1,1,3,1.333333333,357.766
1901,4,3,3,2,NA,4,NA,3,4,3,4,3,1,1,1,1,1,1,0,F,1,3.2,3.4,1,385.6502
1902,2,2,2,2,NA,2,3,2,3,NA,3,NA,1,1,1,1,1,1,0,M,1,2,2.75,1,452.2581
1903,4,4,4,4,4,NA,3,NA,3,3,NA,3,2,1,1,1,1,2,0,F,1,4,3,1.333333333,380.5913
1904,NA,1,1,1,4,3,3,NA,3,3,3,4,1,1,1,1,1,1,0,F,1,2,3.2,1,423.2151
1905,3,3,4,4,NA,3,NA,3,3,3,NA,4,NA,NA,NA,NA,NA,NA,0,M,1,3.4,3.25,NA,325.3518
1906,3,2,2,NA,3,4,3,3,NA,3,NA,2,2,2,1,1,1,1,0,M,1,2.8,2.75,1.333333333,506.58
1907,3,2,3,NA,4,3,3,2,2,3,3,NA,1,1,1,1,1,1,0,M,1,3,2.6,1,463.7817
1908,4,NA,3,3,3,3,NA,3,3,2,3,4,1,2,1,1,1,2,0,M,1,3.2,3,1.333333333,294.1963
1909,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,M,1,3,3,NA,280.2036
1910,NA,3,3,3,3,3,3,NA,2,3,NA,2,2,2,2,2,1,2,1,M,1,3,2.5,1.833333333,335.5226
1911,3,2,2,NA,3,1,NA,NA,3,4,3,3,NA,NA,NA,NA,NA,NA,1,M,1,2.2,3.25,NA,381.7175
1912,NA,2,2,2,3,3,3,2,NA,3,3,NA,1,4,1,4,1,4,0,F,1,2.4,2.75,2.5,396.3666
1913,2,2,2,2,NA,3,3,NA,NA,4,2,4,2,1,1,1,1,1,0,M,1,2.2,3.25,1.166666667,484.928
1914,NA,3,3,3,3,3,1,1,NA,1,1,NA,1,1,1,1,1,1,0,M,1,3,1,1,325.5482
1915,3,3,NA,3,4,2,NA,4,3,2,3,2,2,3,2,2,1,2,1,M,1,3,2.8,2,399.8338
1916,3,3,2,3,3,NA,3,3,3,NA,2,NA,1,1,1,1,1,2,0,F,1,2.8,2.75,1.166666667,307.4166
1917,3,2,3,NA,4,3,3,2,3,3,NA,NA,1,1,1,1,1,1,0,M,1,3,2.75,1,329.6739
1918,2,NA,2,2,4,4,NA,3,3,NA,3,2,1,1,1,1,1,2,1,M,1,2.8,2.75,1.166666667,378.5121
1919,4,3,NA,NA,2,1,2,NA,2,3,3,2,2,2,1,3,3,2,0,M,1,2.5,2.4,2.166666667,319.5626
1920,1,2,3,NA,2,1,NA,1,1,2,1,1,1,1,1,1,1,4,0,M,1,1.8,1.2,1.5,445.1695
1921,4,3,NA,3,4,4,NA,3,4,3,3,NA,1,1,1,1,1,2,0,F,1,3.6,3.25,1.166666667,401.0975
1922,3,2,2,NA,3,2,1,2,NA,3,NA,2,1,2,1,2,1,2,1,M,1,2.4,2,1.5,315.6035
1923,3,NA,3,2,4,NA,3,NA,3,3,4,NA,2,2,1,1,1,1,0,M,1,3,3.25,1.333333333,441.1769
1924,2,2,1,NA,2,1,NA,NA,4,3,2,4,1,1,1,2,1,2,1,M,1,1.6,3.25,1.333333333,340.0061
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,M,1,NA,NA,NA,346.185
1926,3,4,2,NA,4,4,NA,2,1,NA,2,1,3,2,1,2,1,1,1,M,1,3.4,1.5,1.666666667,400.8146
1927,3,1,2,1,NA,2,4,4,NA,4,4,4,1,1,1,1,1,1,0,M,1,1.8,4,1,414.5208
1928,4,NA,4,2,4,4,3,3,NA,NA,2,2,2,1,3,1,1,1,1,F,1,3.6,2.5,1.5,406.3144
1929,4,NA,3,2,4,3,1,1,1,1,NA,1,1,1,2,1,1,2,0,M,1,3.2,1,1.333333333,454.7589
1930,4,4,3,NA,4,4,4,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA,0,F,0,3.8,3,NA,432.2861
1931,4,NA,4,4,4,4,NA,3,NA,3,2,4,1,1,1,1,1,1,1,F,1,4,3,1,401.3155
1932,4,2,2,NA,3,2,2,NA,2,1,3,NA,1,2,2,1,2,1,0,M,1,2.6,2,1.5,373.9228
